NOC,Sport,Year,Total_Athletes,Gold,Silver,Bronze,Total_Medals
ALG,Athletics,2016,16,0,2,0,2
ALG,Athletics,2020,5,0,0,0,0
ALG,Athletics,2024,8,0,0,1,1
ALG,Badminton,2008,1,0,0,0,0
ALG,Badminton,2024,2,0,0,0,0
ALG,Boxing,1968,2,0,0,0,0
ALG,Boxing,1972,1,0,0,0,0
ALG,Boxing,1980,2,0,0,0,0
ALG,Boxing,1984,7,0,0,2,2
ALG,Boxing,1988,6,0,0,0,0
ALG,Boxing,1992,8,0,0,1,1
ALG,Boxing,1996,6,1,0,1,2
ALG,Boxing,2000,7,0,0,1,1
ALG,Boxing,2004,7,0,0,0,0
ALG,Boxing,2008,7,0,0,0,0
ALG,Boxing,2012,8,0,0,0,0
ALG,Boxing,2016,8,0,0,0,0
ALG,Boxing,2020,8,0,0,0,0
ALG,Boxing,2024,5,1,0,0,1
ALG,Cycling,1988,2,0,0,0,0
ALG,Cycling,2008,1,0,0,0,0
ALG,Cycling,2012,1,0,0,0,0
ALG,Cycling,2016,2,0,0,0,0
ALG,Cycling Road,2020,3,0,0,0,0
ALG,Cycling Road,2024,2,0,0,0,0
ALG,Fencing,1980,1,0,0,0,0
ALG,Fencing,1996,2,0,0,0,0
ALG,Fencing,2000,2,0,0,0,0
ALG,Fencing,2004,10,0,0,0,0
ALG,Fencing,2008,2,0,0,0,0
ALG,Fencing,2012,2,0,0,0,0
ALG,Fencing,2016,2,0,0,0,0
ALG,Fencing,2020,4,0,0,0,0
ALG,Fencing,2024,8,0,0,0,0
ALG,Football,1980,14,0,0,0,0
ALG,Football,2016,18,0,0,0,0
ALG,Gymnastics,1964,7,0,0,0,0
ALG,Gymnastics,1968,7,0,0,0,0
ALG,Gymnastics,2016,10,0,0,0,0
ALG,Handball,1980,14,0,0,0,0
ALG,Handball,1984,15,0,0,0,0
ALG,Handball,1988,14,0,0,0,0
ALG,Handball,1996,16,0,0,0,0
ALG,Judo,1980,3,0,0,0,0
ALG,Judo,1988,5,0,0,0,0
ALG,Judo,1992,3,0,0,0,0
ALG,Judo,1996,6,0,0,0,0
ALG,Judo,2000,7,0,0,0,0
ALG,Judo,2004,11,0,0,0,0
ALG,Judo,2008,10,0,1,1,2
ALG,Judo,2012,2,0,0,0,0
ALG,Judo,2016,5,0,0,0,0
ALG,Judo,2020,2,0,0,0,0
ALG,Judo,2024,3,0,0,0,0
ALG,Rowing,1996,1,0,0,0,0
ALG,Rowing,2000,2,0,0,0,0
ALG,Rowing,2004,1,0,0,0,0
ALG,Rowing,2008,3,0,0,0,0
ALG,Rowing,2012,1,0,0,0,0
ALG,Rowing,2016,2,0,0,0,0
ALG,Rowing,2020,2,0,0,0,0
ALG,Rowing,2024,2,0,0,0,0
ALG,Sailing,2016,3,0,0,0,0
ALG,Sailing,2020,2,0,0,0,0
ALG,Sailing,2024,1,0,0,0,0
ALG,Shooting,2012,1,0,0,0,0
ALG,Shooting,2016,1,0,0,0,0
ALG,Shooting,2020,1,0,0,0,0
ALG,Shooting,2024,3,0,0,0,0
ALG,Table Tennis,2000,2,0,0,0,0
ALG,Table Tennis,2004,7,0,0,0,0
ALG,Table Tennis,2008,1,0,0,0,0
ALG,Table Tennis,2020,1,0,0,0,0
ALG,Table Tennis,2024,2,0,0,0,0
ALG,Taekwondo,2012,1,0,0,0,0
ALG,Tennis,1988,1,0,0,0,0
ALG,Tennis,2004,1,0,0,0,0
ALG,Volleyball,1992,10,0,0,0,0
ALG,Volleyball,2008,10,0,0,0,0
ALG,Volleyball,2012,11,0,0,0,0
ALG,Weightlifting,1980,3,0,0,0,0
ALG,Weightlifting,1984,2,0,0,0,0
ALG,Weightlifting,1988,2,0,0,0,0
ALG,Weightlifting,1992,2,0,0,0,0
ALG,Weightlifting,1996,3,0,0,0,0
ALG,Weightlifting,2000,1,0,0,0,0
ALG,Weightlifting,2004,2,0,0,0,0
ALG,Weightlifting,2008,1,0,0,0,0
ALG,Weightlifting,2012,1,0,0,0,0
ALG,Weightlifting,2016,2,0,0,0,0
ALG,Weightlifting,2020,1,0,0,0,0
ALG,Weightlifting,2024,1,0,0,0,0
ALG,Wrestling,1980,3,0,0,0,0
ALG,Wrestling,1992,2,0,0,0,0
ALG,Wrestling,1996,2,0,0,0,0
ALG,Wrestling,2000,2,0,0,0,0
ALG,Wrestling,2004,1,0,0,0,0
ALG,Wrestling,2008,3,0,0,0,0
ALG,Wrestling,2012,3,0,0,0,0
ALG,Wrestling,2016,3,0,0,0,0
ALG,Wrestling,2020,8,0,0,0,0
ALG,Wrestling,2024,8,0,0,0,0
AND,Athletics,1988,2,0,0,0,0
AND,Athletics,1992,1,0,0,0,0
AND,Athletics,1996,1,0,0,0,0
AND,Athletics,2000,2,0,0,0,0
AND,Athletics,2004,2,0,0,0,0
AND,Athletics,2008,2,0,0,0,0
AND,Athletics,2012,2,0,0,0,0
AND,Athletics,2016,1,0,0,0,0
AND,Athletics,2020,1,0,0,0,0
AND,Athletics,2024,1,0,0,0,0
AND,Boxing,1976,1,0,0,0,0
AND,Canoeing,2008,1,0,0,0,0
AND,Cycling,1988,2,0,0,0,0
AND,Cycling,1992,3,0,0,0,0
AND,Judo,1992,1,0,0,0,0
AND,Judo,1996,1,0,0,0,0
AND,Judo,2004,1,0,0,0,0
AND,Judo,2008,1,0,0,0,0
AND,Judo,2012,1,0,0,0,0
AND,Judo,2016,1,0,0,0,0
AND,Sailing,1992,2,0,0,0,0
AND,Sailing,1996,3,0,0,0,0
AND,Shooting,1976,2,0,0,0,0
AND,Shooting,1980,2,0,0,0,0
AND,Shooting,1984,2,0,0,0,0
AND,Shooting,1992,1,0,0,0,0
AND,Shooting,1996,1,0,0,0,0
AND,Shooting,2000,1,0,0,0,0
AND,Shooting,2004,1,0,0,0,0
AND,Shooting,2012,1,0,0,0,0
AND,Shooting,2016,1,0,0,0,0
ANG,Athletics,1980,3,0,0,0,0
ANG,Athletics,1988,8,0,0,0,0
ANG,Athletics,1992,7,0,0,0,0
ANG,Athletics,1996,3,0,0,0,0
ANG,Athletics,2000,2,0,0,0,0
ANG,Athletics,2004,1,0,0,0,0
ANG,Athletics,2008,1,0,0,0,0
ANG,Athletics,2012,2,0,0,0,0
ANG,Athletics,2016,2,0,0,0,0
ANG,Athletics,2020,1,0,0,0,0
ANG,Athletics,2024,1,0,0,0,0
ANG,Basketball,1992,12,0,0,0,0
ANG,Basketball,1996,11,0,0,0,0
ANG,Basketball,2000,12,0,0,0,0
ANG,Basketball,2004,12,0,0,0,0
ANG,Basketball,2008,12,0,0,0,0
ANG,Basketball,2012,12,0,0,0,0
ANG,Beach Volleyball,2008,2,0,0,0,0
ANG,Boxing,1980,3,0,0,0,0
ANG,Boxing,1988,3,0,0,0,0
ANG,Boxing,1992,1,0,0,0,0
ANG,Canoeing,2008,2,0,0,0,0
ANG,Canoeing,2012,4,0,0,0,0
ANG,Handball,1996,13,0,0,0,0
ANG,Handball,2000,13,0,0,0,0
ANG,Handball,2004,15,0,0,0,0
ANG,Handball,2008,14,0,0,0,0
ANG,Handball,2012,14,0,0,0,0
ANG,Handball,2016,15,0,0,0,0
ANG,Handball,2020,14,0,0,0,0
ANG,Handball,2024,15,0,0,0,0
ANG,Judo,1988,7,0,0,0,0
ANG,Judo,1992,4,0,0,0,0
ANG,Judo,2004,1,0,0,0,0
ANG,Judo,2012,1,0,0,0,0
ANG,Judo,2016,1,0,0,0,0
ANG,Judo,2020,1,0,0,0,0
ANG,Judo,2024,1,0,0,0,0
ANG,Rowing,2016,2,0,0,0,0
ANG,Rowing,2024,1,0,0,0,0
ANG,Sailing,1992,3,0,0,0,0
ANG,Sailing,2016,3,0,0,0,0
ANG,Sailing,2020,2,0,0,0,0
ANG,Sailing,2024,3,0,0,0,0
ANG,Shooting,1996,1,0,0,0,0
ANG,Shooting,2000,1,0,0,0,0
ANG,Shooting,2016,1,0,0,0,0
ANT,Athletics,1976,14,0,0,0,0
ANT,Athletics,1984,22,0,0,0,0
ANT,Athletics,1988,19,0,0,0,0
ANT,Athletics,1992,7,0,0,0,0
ANT,Athletics,1996,14,0,0,0,0
ANT,Athletics,2000,3,0,0,0,0
ANT,Athletics,2004,3,0,0,0,0
ANT,Athletics,2008,4,0,0,0,0
ANT,Athletics,2012,3,0,0,0,0
ANT,Athletics,2016,7,0,0,0,0
ANT,Athletics,2020,2,0,0,0,0
ANT,Athletics,2024,2,0,0,0,0
ANT,Boxing,1988,2,0,0,0,0
ANT,Boxing,2020,1,0,0,0,0
ANT,Canoeing,1996,3,0,0,0,0
ANT,Cycling,1976,3,0,0,0,0
ANT,Cycling,1984,4,0,0,0,0
ANT,Cycling,1988,3,0,0,0,0
ANT,Cycling,1992,6,0,0,0,0
ANT,Cycling,1996,1,0,0,0,0
ANT,Sailing,1984,1,0,0,0,0
ANT,Sailing,1988,1,0,0,0,0
ANT,Sailing,1992,5,0,0,0,0
ANT,Sailing,1996,1,0,0,0,0
ANT,Sailing,2000,1,0,0,0,0
ANT,Sailing,2020,1,0,0,0,0
ANT,Sailing,2024,1,0,0,0,0
ANZ,Athletics,1908,15,0,0,1,1
ANZ,Athletics,1912,7,0,0,0,0
ANZ,Boxing,1908,1,0,1,0,1
ANZ,Rowing,1912,10,0,0,0,0
ANZ,Rugby,1908,15,15,0,0,15
ANZ,Shooting,1908,3,0,0,0,0
ANZ,Tennis,1912,1,0,0,1,1
ARG,Archery,1988,2,0,0,0,0
ARG,Archery,2024,1,0,0,0,0
ARG,Artistic Gymnastics,2020,5,0,0,0,0
ARG,Athletics,1924,16,0,1,0,1
ARG,Athletics,1928,12,0,0,0,0
ARG,Athletics,1932,18,1,0,0,1
ARG,Athletics,1936,17,0,0,0,0
ARG,Athletics,1948,38,1,1,0,2
ARG,Athletics,1952,30,0,1,0,1
ARG,Athletics,1956,2,0,0,0,0
ARG,Athletics,1960,4,0,0,0,0
ARG,Athletics,1964,12,0,0,0,0
ARG,Athletics,1968,9,0,0,0,0
ARG,Athletics,1972,10,0,0,0,0
ARG,Athletics,1976,2,0,0,0,0
ARG,Athletics,1984,9,0,0,0,0
ARG,Athletics,1988,2,0,0,0,0
ARG,Athletics,1992,4,0,0,0,0
ARG,Athletics,1996,9,0,0,0,0
ARG,Athletics,2000,11,0,0,0,0
ARG,Athletics,2004,8,0,0,0,0
ARG,Athletics,2008,11,0,0,0,0
ARG,Athletics,2012,10,0,0,0,0
ARG,Athletics,2016,13,0,0,0,0
ARG,Athletics,2020,5,0,0,0,0
ARG,Athletics,2024,6,0,0,0,0
ARG,Basketball,1948,14,0,0,0,0
ARG,Basketball,1952,14,0,0,0,0
ARG,Basketball,1996,12,0,0,0,0
ARG,Basketball,2004,12,12,0,0,12
ARG,Basketball,2008,12,0,0,12,12
ARG,Basketball,2012,12,0,0,0,0
ARG,Basketball,2016,12,0,0,0,0
ARG,Basketball,2020,12,0,0,0,0
ARG,Beach Volleyball,1996,2,0,0,0,0
ARG,Beach Volleyball,2000,4,0,0,0,0
ARG,Beach Volleyball,2004,2,0,0,0,0
ARG,Beach Volleyball,2008,2,0,0,0,0
ARG,Beach Volleyball,2012,2,0,0,0,0
ARG,Beach Volleyball,2016,2,0,0,0,0
ARG,Beach Volleyball,2020,4,0,0,0,0
ARG,Boxing,1920,1,0,0,0,0
ARG,Boxing,1924,10,0,2,2,4
ARG,Boxing,1928,8,2,2,0,4
ARG,Boxing,1932,8,2,1,0,3
ARG,Boxing,1936,8,1,1,2,4
ARG,Boxing,1948,8,2,0,1,3
ARG,Boxing,1952,10,0,1,1,2
ARG,Boxing,1956,10,0,0,1,1
ARG,Boxing,1960,10,0,0,1,1
ARG,Boxing,1964,10,0,0,0,0
ARG,Boxing,1968,7,0,0,1,1
ARG,Boxing,1972,5,0,0,0,0
ARG,Boxing,1976,3,0,0,0,0
ARG,Boxing,1984,6,0,0,0,0
ARG,Boxing,1988,4,0,0,0,0
ARG,Boxing,1992,3,0,0,0,0
ARG,Boxing,1996,5,0,0,1,1
ARG,Boxing,2000,7,0,0,0,0
ARG,Boxing,2004,1,0,0,0,0
ARG,Boxing,2008,1,0,0,0,0
ARG,Boxing,2012,2,0,0,0,0
ARG,Boxing,2016,6,0,0,0,0
ARG,Boxing,2020,5,0,0,0,0
ARG,Canoeing,1984,2,0,0,0,0
ARG,Canoeing,1988,10,0,0,0,0
ARG,Canoeing,1992,7,0,0,0,0
ARG,Canoeing,1996,6,0,0,0,0
ARG,Canoeing,2000,4,0,0,0,0
ARG,Canoeing,2004,3,0,0,0,0
ARG,Canoeing,2008,3,0,0,0,0
ARG,Canoeing,2012,3,0,0,0,0
ARG,Canoeing,2016,11,0,0,0,0
ARG,Cycling,1924,14,0,0,0,0
ARG,Cycling,1928,10,0,0,0,0
ARG,Cycling,1948,16,0,0,0,0
ARG,Cycling,1952,6,0,0,0,0
ARG,Cycling,1960,9,0,0,0,0
ARG,Cycling,1964,14,0,0,0,0
ARG,Cycling,1968,16,0,0,0,0
ARG,Cycling,1972,9,0,0,0,0
ARG,Cycling,1976,8,0,0,0,0
ARG,Cycling,1984,12,0,0,0,0
ARG,Cycling,1988,8,0,0,0,0
ARG,Cycling,1992,8,0,0,0,0
ARG,Cycling,1996,11,0,0,0,0
ARG,Cycling,2000,10,0,0,0,0
ARG,Cycling,2004,5,0,0,0,0
ARG,Cycling,2008,12,2,0,0,2
ARG,Cycling,2012,4,0,0,0,0
ARG,Cycling,2016,7,0,0,0,0
ARG,Cycling BMX Freestyle,2024,1,1,0,0,1
ARG,Cycling BMX Racing,2020,1,0,0,0,0
ARG,Cycling BMX Racing,2024,2,0,0,0,0
ARG,Cycling Mountain Bike,2020,1,0,0,0,0
ARG,Cycling Road,2020,1,0,0,0,0
ARG,Cycling Road,2024,1,0,0,0,0
ARG,Equestrian,2020,8,0,0,0,0
ARG,Equestrian,2024,1,0,0,0,0
ARG,Equestrianism,1928,6,0,0,0,0
ARG,Equestrianism,1948,18,0,0,0,0
ARG,Equestrianism,1952,12,0,0,0,0
ARG,Equestrianism,1956,13,0,0,0,0
ARG,Equestrianism,1960,15,0,0,0,0
ARG,Equestrianism,1964,15,0,1,0,1
ARG,Equestrianism,1968,14,0,0,0,0
ARG,Equestrianism,1972,15,0,0,0,0
ARG,Equestrianism,1976,12,0,0,0,0
ARG,Equestrianism,1984,7,0,0,0,0
ARG,Equestrianism,1996,9,0,0,0,0
ARG,Equestrianism,2000,1,0,0,0,0
ARG,Equestrianism,2004,8,0,0,0,0
ARG,Equestrianism,2008,1,0,0,0,0
ARG,Equestrianism,2012,2,0,0,0,0
ARG,Equestrianism,2016,8,0,0,0,0
ARG,Fencing,1900,1,0,0,0,0
ARG,Fencing,1924,24,0,0,0,0
ARG,Fencing,1928,9,0,0,5,5
ARG,Fencing,1932,9,0,0,0,0
ARG,Fencing,1936,19,0,0,0,0
ARG,Fencing,1948,28,0,0,0,0
ARG,Fencing,1952,20,0,0,0,0
ARG,Fencing,1956,2,0,0,0,0
ARG,Fencing,1960,9,0,0,0,0
ARG,Fencing,1964,23,0,0,0,0
ARG,Fencing,1968,22,0,0,0,0
ARG,Fencing,1972,13,0,0,0,0
ARG,Fencing,1976,16,0,0,0,0
ARG,Fencing,1984,22,0,0,0,0
ARG,Fencing,1988,3,0,0,0,0
ARG,Fencing,1992,5,0,0,0,0
ARG,Fencing,1996,7,0,0,0,0
ARG,Fencing,2000,3,0,0,0,0
ARG,Fencing,2004,1,0,0,0,0
ARG,Fencing,2008,1,0,0,0,0
ARG,Fencing,2012,1,0,0,0,0
ARG,Fencing,2016,1,0,0,0,0
ARG,Fencing,2020,1,0,0,0,0
ARG,Fencing,2024,1,0,0,0,0
ARG,Football,1928,16,0,16,0,16
ARG,Football,1960,13,0,0,0,0
ARG,Football,1964,14,0,0,0,0
ARG,Football,1988,16,0,0,0,0
ARG,Football,1996,18,0,18,0,18
ARG,Football,2004,16,16,0,0,16
ARG,Football,2008,33,18,0,0,18
ARG,Football,2016,16,0,0,0,0
ARG,Football,2020,22,0,0,0,0
ARG,Football,2024,18,0,0,0,0
ARG,Golf,2016,2,0,0,0,0
ARG,Golf,2020,1,0,0,0,0
ARG,Golf,2024,2,0,0,0,0
ARG,Gymnastics,1948,55,0,0,0,0
ARG,Gymnastics,1952,14,0,0,0,0
ARG,Gymnastics,1960,7,0,0,0,0
ARG,Gymnastics,1964,7,0,0,0,0
ARG,Gymnastics,1992,17,0,0,0,0
ARG,Gymnastics,1996,12,0,0,0,0
ARG,Gymnastics,2000,5,0,0,0,0
ARG,Gymnastics,2004,5,0,0,0,0
ARG,Gymnastics,2012,6,0,0,0,0
ARG,Gymnastics,2016,5,0,0,0,0
ARG,Handball,2012,15,0,0,0,0
ARG,Handball,2016,29,0,0,0,0
ARG,Handball,2020,16,0,0,0,0
ARG,Handball,2024,15,0,0,0,0
ARG,Judo,1964,3,0,0,0,0
ARG,Judo,1972,2,0,0,0,0
ARG,Judo,1976,3,0,0,0,0
ARG,Judo,1984,4,0,0,0,0
ARG,Judo,1988,3,0,0,0,0
ARG,Judo,1992,9,0,0,0,0
ARG,Judo,1996,8,0,0,0,0
ARG,Judo,2000,9,0,0,0,0
ARG,Judo,2004,9,0,0,0,0
ARG,Judo,2008,9,0,0,1,1
ARG,Judo,2012,4,0,0,0,0
ARG,Judo,2016,2,1,0,0,1
ARG,Judo,2020,2,0,0,0,0
ARG,Judo,2024,1,0,0,0,0
ARG,Modern Pentathlon,1948,3,0,0,0,0
ARG,Modern Pentathlon,1952,6,0,0,0,0
ARG,Modern Pentathlon,1956,1,0,0,0,0
ARG,Modern Pentathlon,1960,6,0,0,0,0
ARG,Modern Pentathlon,2016,2,0,0,0,0
ARG,Modern Pentathlon,2020,1,0,0,0,0
ARG,Modern Pentathlon,2024,1,0,0,0,0
ARG,Rowing,1924,9,0,0,0,0
ARG,Rowing,1928,9,0,0,0,0
ARG,Rowing,1936,3,0,0,2,2
ARG,Rowing,1948,26,0,0,0,0
ARG,Rowing,1952,9,2,0,0,2
ARG,Rowing,1960,9,0,0,0,0
ARG,Rowing,1964,12,0,0,0,0
ARG,Rowing,1968,9,0,0,1,1
ARG,Rowing,1972,19,0,1,0,1
ARG,Rowing,1976,10,0,0,0,0
ARG,Rowing,1984,7,0,0,0,0
ARG,Rowing,1988,6,0,0,0,0
ARG,Rowing,1992,6,0,0,0,0
ARG,Rowing,1996,22,0,0,0,0
ARG,Rowing,2000,8,0,0,0,0
ARG,Rowing,2004,6,0,0,0,0
ARG,Rowing,2008,2,0,0,0,0
ARG,Rowing,2012,10,0,0,0,0
ARG,Rowing,2016,2,0,0,0,0
ARG,Rowing,2020,2,0,0,0,0
ARG,Rowing,2024,4,0,0,0,0
ARG,Rugby Sevens,2016,13,0,0,0,0
ARG,Rugby Sevens,2020,13,0,0,13,13
ARG,Rugby Sevens,2024,14,0,0,0,0
ARG,Sailing,1924,6,0,0,0,0
ARG,Sailing,1928,5,0,0,0,0
ARG,Sailing,1936,11,0,0,0,0
ARG,Sailing,1948,13,0,5,0,5
ARG,Sailing,1952,14,0,0,0,0
ARG,Sailing,1956,6,0,0,0,0
ARG,Sailing,1960,9,0,3,0,3
ARG,Sailing,1964,6,0,0,0,0
ARG,Sailing,1968,6,0,0,0,0
ARG,Sailing,1972,9,0,0,0,0
ARG,Sailing,1976,4,0,0,0,0
ARG,Sailing,1984,8,0,0,0,0
ARG,Sailing,1988,11,0,0,0,0
ARG,Sailing,1992,7,0,0,0,0
ARG,Sailing,1996,10,0,1,0,1
ARG,Sailing,2000,11,0,1,3,4
ARG,Sailing,2004,11,0,0,2,2
ARG,Sailing,2008,10,0,0,2,2
ARG,Sailing,2012,8,0,0,2,2
ARG,Sailing,2016,13,2,0,0,2
ARG,Sailing,2020,11,0,0,0,0
ARG,Sailing,2024,7,0,2,0,2
ARG,Shooting,1924,8,0,0,0,0
ARG,Shooting,1932,2,0,0,0,0
ARG,Shooting,1936,5,0,0,0,0
ARG,Shooting,1948,12,0,1,0,1
ARG,Shooting,1952,7,0,0,0,0
ARG,Shooting,1956,4,0,0,0,0
ARG,Shooting,1960,9,0,0,0,0
ARG,Shooting,1964,8,0,0,0,0
ARG,Shooting,1968,4,0,0,0,0
ARG,Shooting,1972,5,0,0,0,0
ARG,Shooting,1976,6,0,0,0,0
ARG,Shooting,1984,8,0,0,0,0
ARG,Shooting,1988,4,0,0,0,0
ARG,Shooting,1992,4,0,0,0,0
ARG,Shooting,1996,10,0,0,0,0
ARG,Shooting,2000,7,0,0,0,0
ARG,Shooting,2004,8,0,0,0,0
ARG,Shooting,2008,1,0,0,0,0
ARG,Shooting,2012,2,0,0,0,0
ARG,Shooting,2016,6,0,0,0,0
ARG,Shooting,2020,7,0,0,0,0
ARG,Shooting,2024,5,0,0,0,0
ARG,Skateboarding,2024,2,0,0,0,0
ARG,Surfing,2020,1,0,0,0,0
ARG,Table Tennis,1988,1,0,0,0,0
ARG,Table Tennis,1992,3,0,0,0,0
ARG,Table Tennis,2000,3,0,0,0,0
ARG,Table Tennis,2004,4,0,0,0,0
ARG,Table Tennis,2008,2,0,0,0,0
ARG,Table Tennis,2012,1,0,0,0,0
ARG,Table Tennis,2020,2,0,0,0,0
ARG,Table Tennis,2024,1,0,0,0,0
ARG,Taekwondo,2000,2,0,0,0,0
ARG,Taekwondo,2004,2,0,0,0,0
ARG,Taekwondo,2008,1,0,0,0,0
ARG,Taekwondo,2012,2,1,0,0,1
ARG,Taekwondo,2020,1,0,0,0,0
ARG,Taekwondo,2024,1,0,0,0,0
ARG,Tennis,1924,8,0,0,0,0
ARG,Tennis,1988,9,0,1,0,1
ARG,Tennis,1992,10,0,0,2,2
ARG,Tennis,1996,10,0,0,0,0
ARG,Tennis,2000,11,0,0,0,0
ARG,Tennis,2004,12,0,0,2,2
ARG,Tennis,2008,11,0,0,0,0
ARG,Tennis,2012,10,0,0,1,1
ARG,Tennis,2016,8,0,1,0,1
ARG,Tennis,2020,11,0,0,0,0
ARG,Tennis,2024,15,0,0,0,0
ARG,Triathlon,2000,1,0,0,0,0
ARG,Triathlon,2004,2,0,0,0,0
ARG,Triathlon,2012,1,0,0,0,0
ARG,Triathlon,2016,2,0,0,0,0
ARG,Triathlon,2020,1,0,0,0,0
ARG,Triathlon,2024,1,0,0,0,0
ARG,Volleyball,1984,10,0,0,0,0
ARG,Volleyball,1988,12,0,0,12,12
ARG,Volleyball,1996,12,0,0,0,0
ARG,Volleyball,2000,12,0,0,0,0
ARG,Volleyball,2004,12,0,0,0,0
ARG,Volleyball,2012,12,0,0,0,0
ARG,Volleyball,2016,24,0,0,0,0
