NOC,Year,Sport,Omega
AIN,2024,Tennis,0.2710731306305769
AIN,2024,Trampoline Gymnastics,0.36645823548590606
AIN,2024,Weightlifting,0.7067106043301835
AIN,2024,Wrestling,0.4448618417713994
ALB,2020,Artistic Gymnastics,0.0
ALB,2020,Athletics,0.0
ALB,2020,Judo,0.0
ALB,2020,Shooting,0.0
ALB,2020,Weightlifting,0.0
ALB,1992,Athletics,0.0
ALB,1992,Shooting,0.0
ALB,1992,Weightlifting,0.0
ALB,1996,Athletics,0.0
ALB,1996,Cycling,0.0
ALB,1996,Shooting,0.0
ALB,1996,Weightlifting,0.0
ALB,1996,Wrestling,0.0
ALB,2000,Athletics,0.0
ALB,2000,Shooting,0.0
ALB,2000,Weightlifting,0.0
ALB,2004,Athletics,0.0
ALB,2004,Weightlifting,0.0
ALB,2004,Wrestling,0.0
ALB,2008,Athletics,0.0
ALB,2008,Judo,0.0
ALB,2008,Shooting,0.0
ALB,2008,Weightlifting,0.0
ALB,2008,Wrestling,0.0
ALB,2012,Athletics,0.0
ALB,2012,Judo,0.0
ALB,2012,Shooting,0.0
ALB,2012,Weightlifting,0.0
ALB,2016,Athletics,0.0
ALB,2016,Weightlifting,0.0
ALB,2024,Athletics,0.6520427224824388
ALB,2024,Shooting,0.4368750736172886
ALB,2024,Wrestling,0.2740552768107054
ALB,1972,Shooting,0.0
ALB,1972,Weightlifting,0.0
ALG,2024,Artistic Gymnastics,0.26056178507550065
ALG,2024,Athletics,0.016540815640049493
ALG,2024,Badminton,0.34130237121651297
ALG,2024,Boxing,0.19089550386730259
ALG,2024,Cycling Road,0.38162198018713334
ALG,2024,Fencing,0.018574745192249532
ALG,2024,Judo,0.24541555848860436
ALG,2024,Rowing,0.1
ALG,2024,Sailing,0.3817685652159679
ALG,2024,Shooting,0.14408543291576306
ALG,2024,Table Tennis,0.20686113813571536
ALG,2024,Weightlifting,0.6306582272382475
ALG,2024,Wrestling,0.1200054327950614
ALG,1972,Athletics,0.0
ALG,1972,Boxing,0.0
ALG,1980,Athletics,0.0
ALG,1980,Boxing,0.0
ALG,1980,Fencing,0.0
ALG,1980,Football,0.0
ALG,1980,Handball,0.0
ALG,1980,Judo,0.0
ALG,1980,Weightlifting,0.0
ALG,1980,Wrestling,0.0
ALG,1984,Athletics,0.6299360270058124
ALG,1984,Boxing,0.5351505783768934
ALG,1984,Handball,0.31843945107444205
ALG,1984,Weightlifting,0.4039756239852572
ALG,1988,Athletics,0.0
ALG,1988,Boxing,0.0
ALG,1988,Cycling,0.0
ALG,1988,Handball,0.0
ALG,1988,Judo,0.0
ALG,1988,Tennis,0.0
ALG,1988,Weightlifting,0.0
ALG,1992,Athletics,0.2652768829253433
ALG,1992,Boxing,0.35781005304719865
ALG,1992,Judo,0.19954367671903114
ALG,1992,Volleyball,0.3366610612231513
ALG,1992,Weightlifting,0.13924318539984834
ALG,1992,Wrestling,0.25317052092619735
ALG,1996,Athletics,0.13692771896080558
ALG,1996,Boxing,0.4447076274542395
ALG,1996,Fencing,0.46177750173758525
ALG,1996,Handball,0.42183874390168336
ALG,1996,Judo,0.16066297907563287
ALG,1996,Rowing,0.22417556549614426
ALG,1996,Weightlifting,0.8220626591697452
ALG,1996,Wrestling,0.45458834305709944
ALG,2000,Athletics,0.3943304032563034
ALG,2000,Boxing,0.5878861111175484
ALG,2000,Fencing,0.49358851979998086
ALG,2000,Judo,0.6670596940614022
ALG,2000,Rowing,0.7326322093991475
ALG,2000,Table Tennis,0.29320112317831226
ALG,2000,Weightlifting,0.7168519272893792
ALG,2000,Wrestling,0.6950340028476276
ALG,2004,Athletics,0.0
ALG,2004,Boxing,0.0
ALG,2004,Fencing,0.0
ALG,2004,Judo,0.0
ALG,2004,Rowing,0.0
ALG,2004,Table Tennis,0.0
ALG,2004,Tennis,0.0
ALG,2004,Weightlifting,0.0
ALG,2004,Wrestling,0.0
ALG,2008,Athletics,0.24827172634640157
ALG,2008,Badminton,0.2577617357125672
ALG,2008,Boxing,0.13232812281426132
ALG,2008,Cycling,0.5968278258595383
ALG,2008,Fencing,0.3821845559592184
ALG,2008,Judo,0.06826945201409178
ALG,2008,Rowing,0.7643285755813276
ALG,2008,Table Tennis,0.6674621671985833
ALG,2008,Volleyball,0.09752517532794801
ALG,2008,Weightlifting,0.5757979160592107
ALG,2008,Wrestling,0.4271557430364461
ALG,2012,Athletics,0.22104752268624994
ALG,2012,Boxing,0.2680246754588828
ALG,2012,Cycling,0.30718972522640386
ALG,2012,Fencing,0.7441029693115135
ALG,2012,Judo,0.6300365664953045
ALG,2012,Rowing,0.5100356941765037
ALG,2012,Shooting,0.30000000000000004
ALG,2012,Taekwondo,0.5095244788982836
ALG,2012,Volleyball,0.054041787160604385
ALG,2012,Weightlifting,0.246618915629152
ALG,2012,Wrestling,0.6974590480609749
ALG,2016,Athletics,0.04432858757904476
ALG,2016,Boxing,0.08629450140400333
ALG,2016,Cycling,0.515117394511622
ALG,2016,Fencing,0.7124993070926888
ALG,2016,Football,0.0
ALG,2016,Gymnastics,0.49096526442216515
ALG,2016,Judo,0.6563344444166636
ALG,2016,Rowing,0.31389039367677884
ALG,2016,Sailing,0.48658744271406396
ALG,2016,Shooting,0.7039620620795984
ALG,2016,Weightlifting,0.6511139356277177
ALG,2016,Wrestling,0.6200173179733095
ALG,2020,Athletics,0.0
ALG,2020,Boxing,0.0
ALG,2020,Cycling Road,0.0
ALG,2020,Fencing,0.0
ALG,2020,Judo,0.0
ALG,2020,Rowing,0.0
ALG,2020,Sailing,0.0
ALG,2020,Shooting,0.0025981412061554937
ALG,2020,Table Tennis,0.0
ALG,2020,Weightlifting,0.0
ALG,2020,Wrestling,0.0
ALG,1968,Boxing,0.0
ALG,1968,Gymnastics,0.0
ALG,1964,Gymnastics,0.0
AND,1988,Athletics,0.0
AND,1988,Cycling,0.0
AND,1992,Athletics,0.0
AND,1992,Cycling,0.0
AND,1992,Judo,0.0
AND,1992,Sailing,0.0
AND,1992,Shooting,0.0
AND,1996,Athletics,0.0
AND,1996,Judo,0.0
AND,1996,Sailing,0.0
AND,1996,Shooting,0.0
AND,2000,Athletics,0.0
AND,2000,Shooting,0.0
AND,2004,Athletics,0.0
AND,2004,Judo,0.0
AND,2004,Shooting,0.0
AND,2008,Athletics,0.0
AND,2008,Canoeing,0.0
AND,2008,Judo,0.0
AND,2012,Athletics,0.0
AND,2012,Judo,0.0
AND,2012,Shooting,0.0
AND,2016,Athletics,0.0
AND,2016,Judo,0.0
AND,2016,Shooting,0.0
AND,2020,Athletics,0.0
AND,2024,Athletics,0.0
AND,1976,Boxing,0.0
AND,1976,Shooting,0.0
AND,1980,Shooting,0.0
AND,1984,Shooting,0.0
ANG,1980,Athletics,0.0
ANG,1980,Boxing,0.0
ANG,1988,Athletics,0.0
ANG,1988,Boxing,0.0
ANG,1988,Judo,0.0
ANG,1992,Athletics,0.0
ANG,1992,Basketball,0.0
ANG,1992,Boxing,0.0
ANG,1992,Judo,0.0
ANG,1992,Sailing,0.0
ANG,1996,Athletics,0.0
ANG,1996,Basketball,0.0
ANG,1996,Handball,0.0
ANG,1996,Shooting,0.0
ANG,2000,Athletics,0.0
ANG,2000,Basketball,0.0
ANG,2000,Handball,0.0
ANG,2000,Shooting,0.0
ANG,2004,Athletics,0.0
ANG,2004,Basketball,0.0
ANG,2004,Handball,0.0
ANG,2004,Judo,0.0
ANG,2008,Athletics,0.0
ANG,2008,Basketball,0.0
ANG,2008,Beach Volleyball,0.0
ANG,2008,Canoeing,0.0
ANG,2008,Handball,0.0
ANG,2012,Athletics,0.0
ANG,2012,Basketball,0.0
ANG,2012,Canoeing,0.0
ANG,2012,Handball,0.0
ANG,2012,Judo,0.0
ANG,2016,Athletics,0.0
ANG,2016,Handball,0.0
ANG,2016,Judo,0.0
ANG,2016,Rowing,0.0
ANG,2016,Sailing,0.0
ANG,2016,Shooting,0.0
ANG,2020,Athletics,0.0
ANG,2020,Handball,0.0
ANG,2020,Judo,0.0
ANG,2020,Sailing,0.0
ANG,2024,Athletics,0.0
ANG,2024,Handball,0.0
ANG,2024,Judo,0.0
ANG,2024,Rowing,0.0
ANG,2024,Sailing,0.0
ANT,1976,Athletics,0.0
ANT,1976,Cycling,0.0
ANT,1984,Athletics,0.0
ANT,1984,Cycling,0.0
ANT,1984,Sailing,0.0
ANT,1988,Athletics,0.0
ANT,1988,Boxing,0.0
ANT,1988,Cycling,0.0
ANT,1988,Sailing,0.0
ANT,1992,Athletics,0.0
ANT,1992,Cycling,0.0
ANT,1992,Sailing,0.0
ANT,1996,Athletics,0.0
ANT,1996,Canoeing,0.0
ANT,1996,Cycling,0.0
ANT,1996,Sailing,0.0
ANT,2000,Athletics,0.0
ANT,2000,Sailing,0.0
ANT,2004,Athletics,0.0
ANT,2008,Athletics,0.0
ANT,2012,Athletics,0.0
ANT,2016,Athletics,0.0
ANT,2020,Athletics,0.0
ANT,2020,Boxing,0.0
ANT,2020,Sailing,0.0
ANT,2024,Athletics,0.0
ANT,2024,Sailing,0.0
ANZ,1908,Athletics,0.23023979564239963
ANZ,1908,Boxing,0.7178427922838468
ANZ,1908,Rugby,0.6143563342580037
ANZ,1908,Shooting,0.5377200791922049
ANZ,1912,Athletics,0.5217868682937202
ANZ,1912,Rowing,0.5734625828634747
ANZ,1912,Tennis,0.6128660892569529
ARG,1988,Archery,0.3245461425538893
ARG,1988,Athletics,0.4871528671606779
ARG,1988,Boxing,0.5868885756675635
ARG,1988,Canoeing,0.21025396806426364
ARG,1988,Cycling,0.12374610078531541
ARG,1988,Fencing,0.4445736193742863
ARG,1988,Football,0.0026230492870992174
ARG,1988,Judo,0.06633370065134395
ARG,1988,Rowing,0.07106884018799454
ARG,1988,Sailing,0.024272482957342884
ARG,1988,Shooting,0.6105227736238749
ARG,1988,Table Tennis,0.7267327050231106
ARG,1988,Tennis,0.16378658942930527
ARG,1988,Volleyball,0.05888438684246787
ARG,1988,Wrestling,0.32973559006883146
ARG,2024,Archery,0.3964725930396348
ARG,2024,Athletics,0.15704252827129989
ARG,2024,Cycling BMX Freestyle,0.4894516552298862
ARG,2024,Cycling BMX Racing,0.6322323196791921
ARG,2024,Cycling Road,0.20318545797567106
ARG,2024,Equestrian,0.4650460204231909
ARG,2024,Fencing,0.0008655590354549429
ARG,2024,Football,0.0013567826086675339
ARG,2024,Golf,0.6445010716954047
ARG,2024,Handball,0.0
ARG,2024,Judo,0.3002823976124547
ARG,2024,Modern Pentathlon,0.34046694920918763
ARG,2024,Rowing,0.544791374136706
ARG,2024,Rugby Sevens,0.004780865430052055
ARG,2024,Sailing,0.22716635084090592
ARG,2024,Shooting,0.6829427279931102
ARG,2024,Skateboarding,0.4392233698493716
ARG,2024,Table Tennis,0.6064953721021157
ARG,2024,Taekwondo,0.7852592659051055
ARG,2024,Tennis,0.09214379038613658
ARG,2024,Triathlon,0.1247223765636227
ARG,2024,Volleyball,0.09666524037786406
ARG,2020,Artistic Gymnastics,0.4129795257329337
ARG,2020,Athletics,0.6612263691103203
ARG,2020,Basketball,0.20856966748489436
ARG,2020,Beach Volleyball,0.001944172284773095
ARG,2020,Boxing,0.24783166970626538
ARG,2020,Cycling BMX Racing,0.4111301148323294
ARG,2020,Cycling Mountain Bike,0.289969057127082
ARG,2020,Cycling Road,0.38453239513472137
ARG,2020,Equestrian,0.027471305832774892
ARG,2020,Fencing,0.40539512749770745
ARG,2020,Football,0.010068447018755634
ARG,2020,Golf,0.4820198127140497
ARG,2020,Handball,0.0
ARG,2020,Judo,0.391775871455627
ARG,2020,Modern Pentathlon,0.7983052890470891
ARG,2020,Rowing,0.469635800127685
ARG,2020,Rugby Sevens,0.22894698381553338
ARG,2020,Sailing,0.0
ARG,2020,Shooting,0.117702409782421
ARG,2020,Surfing,0.30444496055171555
ARG,2020,Table Tennis,0.028275294966748982
ARG,2020,Taekwondo,0.6006826275414966
ARG,2020,Tennis,0.11432331149215541
ARG,2020,Triathlon,0.5712973337328195
ARG,2020,Volleyball,0.10624175614083115
ARG,2020,Wrestling,0.8022044944390385
ARG,1924,Athletics,0.285733325338382
ARG,1924,Boxing,0.06985174974180844
ARG,1924,Cycling,0.2186791912665371
ARG,1924,Fencing,0.18284701232555947
ARG,1924,Rowing,0.31010900930311247
ARG,1924,Sailing,0.3226464189624921
ARG,1924,Shooting,0.19868369553745988
ARG,1924,Tennis,0.38921219199754115
ARG,1924,Weightlifting,0.6166727708390556
ARG,1928,Athletics,0.050841898271199226
ARG,1928,Boxing,0.4237474247876922
ARG,1928,Cycling,0.08663185878665981
ARG,1928,Equestrianism,0.5441310081478664
ARG,1928,Fencing,0.24759813832560792
ARG,1928,Football,0.03636546941089366
ARG,1928,Rowing,0.23677958071938013
ARG,1928,Sailing,0.05414142550054957
ARG,1928,Weightlifting,0.44212140347265194
ARG,1928,Wrestling,0.2662842701622149
ARG,1932,Athletics,0.6701549418310514
ARG,1932,Boxing,0.2633751350272257
ARG,1932,Fencing,0.14746219571837627
ARG,1932,Shooting,0.9641997958950788
ARG,1932,Weightlifting,0.5746599450383476
ARG,1936,Athletics,0.5088534206465971
ARG,1936,Boxing,0.319004008442188
ARG,1936,Fencing,0.0497444924408581
ARG,1936,Rowing,0.8784693557516609
ARG,1936,Sailing,0.17255884781926864
ARG,1936,Shooting,0.4637674672043678
ARG,1948,Athletics,0.24107964567888263
ARG,1948,Basketball,0.44194571231967716
ARG,1948,Boxing,0.17104102784907196
ARG,1948,Cycling,0.3853147187574299
ARG,1948,Equestrianism,0.2712459481679716
ARG,1948,Fencing,0.2076128378458045
ARG,1948,Gymnastics,0.0775994035996783
ARG,1948,Modern Pentathlon,0.4975049072452621
ARG,1948,Rowing,0.18968708155102815
ARG,1948,Sailing,0.23365378097492487
ARG,1948,Shooting,0.0744052616489922
ARG,1948,Weightlifting,0.40619702535092594
ARG,1948,Wrestling,0.44373525030506894
ARG,1952,Athletics,0.031041428009806662
ARG,1952,Basketball,0.0045537771741443606
ARG,1952,Boxing,0.05947868875430337
ARG,1952,Cycling,0.08156386231854872
ARG,1952,Equestrianism,0.29686878387582877
ARG,1952,Fencing,0.15714143651227902
ARG,1952,Gymnastics,0.13858832700721418
ARG,1952,Modern Pentathlon,0.3464017774811361
ARG,1952,Rowing,0.43094232714869996
ARG,1952,Sailing,0.23283763313589603
ARG,1952,Shooting,0.4034893970311435
ARG,1952,Weightlifting,0.46878171083091924
ARG,1952,Wrestling,0.6987465004465302
ARG,1956,Athletics,0.4568668807965989
ARG,1956,Boxing,0.4017382864994945
ARG,1956,Equestrianism,0.0847412534632616
ARG,1956,Fencing,0.2801251133800883
ARG,1956,Modern Pentathlon,0.35868131125997194
ARG,1956,Sailing,0.2781947110742047
ARG,1956,Shooting,0.19750859885625094
ARG,1956,Weightlifting,0.7052970969595245
ARG,1956,Wrestling,0.5446274935265635
ARG,1960,Athletics,0.2228992666060212
ARG,1960,Boxing,0.0
ARG,1960,Cycling,0.0
ARG,1960,Equestrianism,0.005937933302835969
ARG,1960,Fencing,0.08392027178000312
ARG,1960,Football,0.17362757641773297
ARG,1960,Gymnastics,0.4386031573109581
ARG,1960,Modern Pentathlon,0.272699513190859
ARG,1960,Rowing,0.03250477439713009
ARG,1960,Sailing,0.42021575211175577
ARG,1960,Shooting,0.11777543398592177
ARG,1960,Wrestling,0.29149188711870344
ARG,1964,Athletics,0.2194588253816808
ARG,1964,Boxing,0.26000019184152456
ARG,1964,Cycling,0.14401510388089028
ARG,1964,Equestrianism,0.0
ARG,1964,Fencing,0.005732635187003126
ARG,1964,Football,0.16012132347401295
ARG,1964,Gymnastics,0.34522609277150673
ARG,1964,Judo,0.4831291169618188
ARG,1964,Rowing,0.21934540811636394
ARG,1964,Sailing,0.15403667908781107
ARG,1964,Shooting,0.31170791516762586
ARG,1964,Weightlifting,0.1697042123081044
ARG,1964,Wrestling,0.39010940208538014
ARG,1968,Athletics,0.1560809728473533
ARG,1968,Boxing,0.38937241395658884
ARG,1968,Cycling,0.06915617471077311
ARG,1968,Equestrianism,0.12185555074111495
ARG,1968,Fencing,0.2559607140916965
ARG,1968,Rowing,0.3147424857593516
ARG,1968,Sailing,0.5095235860910926
ARG,1968,Shooting,0.4601750104098686
ARG,1968,Weightlifting,0.45120372335919645
ARG,1968,Wrestling,0.20740978476522282
ARG,1972,Athletics,0.3705529161901345
ARG,1972,Boxing,0.5301458061962825
ARG,1972,Cycling,0.31824874768816025
ARG,1972,Equestrianism,0.08728827008578925
ARG,1972,Fencing,0.1081948253582224
ARG,1972,Judo,0.46238843793555817
ARG,1972,Rowing,0.11012500960918001
ARG,1972,Sailing,0.16299864036001563
ARG,1972,Shooting,0.13980012758684096
ARG,1972,Wrestling,0.3134065956656529
ARG,1976,Athletics,0.0
ARG,1976,Boxing,0.0
ARG,1976,Cycling,0.0
ARG,1976,Equestrianism,0.0
ARG,1976,Fencing,0.0
ARG,1976,Judo,0.0
ARG,1976,Rowing,0.0
ARG,1976,Sailing,0.0
ARG,1976,Shooting,0.0
ARG,1976,Wrestling,0.0
ARG,1984,Athletics,0.0023356559752927032
ARG,1984,Boxing,0.03156645555988775
ARG,1984,Canoeing,0.02621231771578144
ARG,1984,Cycling,0.0
ARG,1984,Equestrianism,0.0006750038288876485
ARG,1984,Fencing,0.0
ARG,1984,Judo,0.0537190310915286
ARG,1984,Rowing,0.0
ARG,1984,Sailing,0.0006355481724497989
ARG,1984,Shooting,0.009696585052896806
ARG,1984,Volleyball,0.0
ARG,1984,Wrestling,0.0
ARG,1992,Athletics,0.7808766608967256
ARG,1992,Boxing,0.44030689567737274
ARG,1992,Canoeing,0.009816858906709592
ARG,1992,Cycling,0.029200771545508552
ARG,1992,Fencing,0.6670812331015247
ARG,1992,Gymnastics,0.012761129402112326
ARG,1992,Judo,0.020354714819314876
ARG,1992,Rowing,0.36317244406619564
ARG,1992,Sailing,0.4502405830306946
ARG,1992,Shooting,0.3108761999502005
ARG,1992,Table Tennis,0.26135713797641347
ARG,1992,Tennis,0.004365852357587199
ARG,1992,Weightlifting,0.3145040990819897
ARG,1992,Wrestling,0.48729767464280876
ARG,1996,Athletics,0.2255672826811553
ARG,1996,Basketball,0.03216297195970025
ARG,1996,Beach Volleyball,0.43107262210458724
ARG,1996,Boxing,0.519848478134703
ARG,1996,Canoeing,0.2774795119870307
ARG,1996,Cycling,0.13599486588418092
ARG,1996,Equestrianism,0.4061811898818255
ARG,1996,Fencing,0.0
ARG,1996,Football,2.6944490377593314e-05
ARG,1996,Gymnastics,0.0
ARG,1996,Judo,0.04501955949498068
ARG,1996,Rowing,0.0
ARG,1996,Sailing,0.14172379477761152
ARG,1996,Shooting,0.22320193772329797
ARG,1996,Tennis,0.3173847110575505
ARG,1996,Volleyball,0.09470334818748319
ARG,1996,Weightlifting,0.06797934097654693
ARG,1996,Wrestling,0.7830569788765911
ARG,2000,Athletics,0.0
ARG,2000,Beach Volleyball,0.2087337787906596
ARG,2000,Boxing,0.06103703203840488
ARG,2000,Canoeing,0.2732242094245114
ARG,2000,Cycling,0.01090581157072456
ARG,2000,Equestrianism,0.43902018014153843
ARG,2000,Fencing,0.2752756159455099
ARG,2000,Gymnastics,0.07065635304791851
ARG,2000,Judo,0.009014040312413249
ARG,2000,Rowing,0.20241396659088579
ARG,2000,Sailing,0.049476747398529364
ARG,2000,Shooting,0.059835135704972425
ARG,2000,Table Tennis,0.37228339443395947
ARG,2000,Taekwondo,0.00692179927482731
ARG,2000,Tennis,0.12347080808348512
ARG,2000,Triathlon,0.4773996549933476
ARG,2000,Volleyball,0.15380221957136353
ARG,2000,Weightlifting,0.22414418533173439
ARG,2004,Athletics,0.10235552326275449
ARG,2004,Basketball,0.08740410732594352
ARG,2004,Beach Volleyball,0.3852268126734023
ARG,2004,Boxing,0.6564996045354949
ARG,2004,Canoeing,0.4598797729728133
ARG,2004,Cycling,0.04393756957723077
ARG,2004,Equestrianism,0.15103425553774427
ARG,2004,Fencing,0.254230969426682
ARG,2004,Football,0.0
ARG,2004,Gymnastics,0.4937737086055482
ARG,2004,Judo,0.022077350909833156
ARG,2004,Rowing,0.13995073009390807
ARG,2004,Sailing,0.23865783968381493
ARG,2004,Shooting,0.0
ARG,2004,Table Tennis,0.3544097157335417
ARG,2004,Taekwondo,0.16328783245270925
ARG,2004,Tennis,0.0
ARG,2004,Triathlon,0.48728414835187916
ARG,2004,Volleyball,0.0
ARG,2004,Weightlifting,0.3955441469906243
ARG,2008,Athletics,0.2550423720610839
ARG,2008,Basketball,0.05670826459076123
ARG,2008,Beach Volleyball,0.7498404627220475
ARG,2008,Boxing,0.47346526694761315
ARG,2008,Canoeing,0.42026843644915635
ARG,2008,Cycling,0.33526427063455055
ARG,2008,Equestrianism,0.056545387178697754
ARG,2008,Fencing,0.5286636940744895
ARG,2008,Football,0.18991183163223196
ARG,2008,Judo,0.5757944393439253
ARG,2008,Rowing,0.480389471133783
ARG,2008,Sailing,0.5468168027677481
ARG,2008,Shooting,0.6223597812064009
ARG,2008,Table Tennis,0.40792807915914236
ARG,2008,Taekwondo,0.6780002609532305
ARG,2008,Tennis,0.09543870622050364
ARG,2008,Weightlifting,0.6283196788898469
ARG,2012,Athletics,0.03756959696404786
ARG,2012,Basketball,0.0
ARG,2012,Beach Volleyball,0.18139783036354665
ARG,2012,Boxing,0.43869043733063173
ARG,2012,Canoeing,0.38606157113103445
ARG,2012,Cycling,0.1393884885795777
ARG,2012,Equestrianism,0.4821176951988635
ARG,2012,Fencing,0.8624810283001946
ARG,2012,Gymnastics,0.5056640139145954
ARG,2012,Handball,0.0
ARG,2012,Judo,0.35567987616378605
ARG,2012,Rowing,0.0316278190062244
ARG,2012,Sailing,0.09550375002519199
ARG,2012,Shooting,0.8330536458933776
ARG,2012,Table Tennis,0.5917760980338194
ARG,2012,Taekwondo,0.3170529841853836
ARG,2012,Tennis,0.042386342302627784
ARG,2012,Triathlon,0.6493524339142116
ARG,2012,Volleyball,0.0
ARG,2012,Wrestling,0.34062843539684606
ARG,2016,Athletics,0.027964529298716855
ARG,2016,Basketball,0.09014395145236667
ARG,2016,Beach Volleyball,0.5665012774256633
ARG,2016,Boxing,0.4168419899566321
ARG,2016,Canoeing,0.002083686390633263
ARG,2016,Cycling,0.2769888593946423
ARG,2016,Equestrianism,0.2512151955712364
ARG,2016,Fencing,0.5382835450762293
ARG,2016,Football,0.0
ARG,2016,Golf,0.7443999778855691
ARG,2016,Gymnastics,0.3667093400601664
ARG,2016,Handball,0.042318127570470446
ARG,2016,Judo,0.5000000000000001
ARG,2016,Modern Pentathlon,0.465836545335794
ARG,2016,Rowing,0.7569547110699835
ARG,2016,Rugby Sevens,0.23132314393461784
ARG,2016,Sailing,0.1480438339405063
ARG,2016,Shooting,0.2621748391348552
ARG,2016,Tennis,0.31372969049925997
ARG,2016,Triathlon,0.6924752974629784
ARG,2016,Volleyball,0.02592971552395967
ARG,2016,Weightlifting,0.28985536867774303
ARG,2016,Wrestling,0.10372437938784486
ARG,1920,Boxing,0.0
ARG,1900,Fencing,0.0
ARM,2020,Artistic Gymnastics,0.7437500049278625
ARM,2020,Athletics,0.5789759626305853
ARM,2020,Boxing,0.2417125122003859
ARM,2020,Judo,0.4453952571894937
ARM,2020,Shooting,0.4641216598477682
ARM,2020,Weightlifting,0.7835862859143118
ARM,2020,Wrestling,0.12196263282951825
ARM,2024,Artistic Gymnastics,0.21389299064239412
ARM,2024,Athletics,0.28618555074158347
ARM,2024,Boxing,0.2858536950725927
ARM,2024,Shooting,0.6422751638257417
ARM,2024,Weightlifting,0.4616374349262348
ARM,2024,Wrestling,0.30903969843993595
ARM,1996,Athletics,0.5022547379862039
ARM,1996,Boxing,0.12592194959753375
ARM,1996,Cycling,0.7039768330064283
ARM,1996,Gymnastics,0.2109087639172871
ARM,1996,Judo,0.2955798027449617
ARM,1996,Shooting,0.3808217807242823
ARM,1996,Tennis,0.26339569804403085
ARM,1996,Weightlifting,0.4563201145177932
ARM,1996,Wrestling,0.1010490497323349
ARM,2000,Athletics,0.28252005372504396
ARM,2000,Boxing,0.4168179493031589
ARM,2000,Canoeing,0.2255267224036639
ARM,2000,Judo,0.48635813380588455
ARM,2000,Shooting,0.3531304465781695
ARM,2000,Tennis,0.22266692967068993
ARM,2000,Weightlifting,0.306506310828363
ARM,2000,Wrestling,0.39533909126617384
ARM,2004,Athletics,0.0
ARM,2004,Boxing,0.0
ARM,2004,Judo,0.0
ARM,2004,Shooting,0.0
ARM,2004,Tennis,0.0
ARM,2004,Weightlifting,0.0
ARM,2004,Wrestling,0.0
ARM,2008,Athletics,0.22903158522073697
ARM,2008,Boxing,0.46363577875251355
ARM,2008,Judo,0.6662809135583864
ARM,2008,Shooting,0.3476514508457941
ARM,2008,Weightlifting,0.49816476982394775
ARM,2008,Wrestling,0.1856163221284732
ARM,2012,Athletics,0.11560840853667408
ARM,2012,Boxing,0.5263323355213199
ARM,2012,Gymnastics,0.1283033256623915
ARM,2012,Judo,0.13407979814854248
ARM,2012,Shooting,0.4279670908879527
ARM,2012,Taekwondo,0.43283667722537056
ARM,2012,Weightlifting,0.22592118334291386
ARM,2012,Wrestling,0.3466448633605417
ARM,2016,Athletics,0.40146197277734263
ARM,2016,Boxing,0.24160597738621126
ARM,2016,Gymnastics,0.37835108754988345
ARM,2016,Judo,0.2997067791066169
ARM,2016,Shooting,0.21391621665275082
ARM,2016,Weightlifting,0.08621911008609381
ARM,2016,Wrestling,0.17467877750222122
ARU,1988,Athletics,0.0
ARU,1988,Boxing,0.0
ARU,1988,Fencing,0.0
ARU,1988,Judo,0.0
